position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s    I_peak    I_d2_qwf     
(mm)       (rad/pi)          (rad/pi)             (rad/pi)             (rad/pi)                   (rad/pi)                 (rad/pi)             (W/cm^2)  (W/cm^2)     
4.150000000e+00       -3.626242245e+01            -2.237399662e+00                3.903244022e+01                8.192188390e-01                      5.326181050e-01                    -3.768060328e+01                1.318463728e+15     1.319644582e+15        
4.200000000e+00       -3.666413978e+01            -2.264035373e+00                3.942962625e+01                8.297185870e-01                      5.014510910e-01                    -3.809845657e+01                1.313353318e+15     1.314547448e+15        
4.250000000e+00       -3.706466210e+01            -2.290671083e+00                3.982522157e+01                8.402338569e-01                      4.698883932e-01                    -3.851509932e+01                1.308265432e+15     1.309469794e+15        
4.300000000e+00       -3.746397640e+01            -2.317306793e+00                4.021923236e+01                8.507646658e-01                      4.379491661e-01                    -3.893051853e+01                1.303200069e+15     1.304411550e+15        
4.350000000e+00       -3.786206990e+01            -2.343942503e+00                4.061166487e+01                8.613110311e-01                      4.056524667e-01                    -3.934470138e+01                1.298157223e+15     1.299372644e+15        
4.400000000e+00       -3.825892998e+01            -2.370578214e+00                4.100252545e+01                8.718729700e-01                      3.730172504e-01                    -3.975763523e+01                1.293136886e+15     1.294353008e+15        
4.450000000e+00       -3.865454422e+01            -2.397213924e+00                4.139182051e+01                8.824504995e-01                      3.400623668e-01                    -4.016930764e+01                1.288139046e+15     1.289352570e+15        
4.500000000e+00       -3.904890037e+01            -2.423849634e+00                4.177955655e+01                8.930436366e-01                      3.068065545e-01                    -4.057970636e+01                1.283163687e+15     1.284371262e+15        
4.550000000e+00       -3.944198638e+01            -2.450485344e+00                4.216574017e+01                9.036523984e-01                      2.732684369e-01                    -4.098881933e+01                1.278210792e+15     1.279409014e+15        
4.600000000e+00       -3.983379041e+01            -2.477121055e+00                4.255037798e+01                9.142768018e-01                      2.394665166e-01                    -4.139663466e+01                1.273280338e+15     1.274465756e+15        
4.650000000e+00       -4.022430077e+01            -2.503756765e+00                4.293347670e+01                9.249168635e-01                      2.054191699e-01                    -4.180314067e+01                1.268372300e+15     1.269541421e+15        
4.700000000e+00       -4.061350598e+01            -2.530392475e+00                4.331504309e+01                9.355726004e-01                      1.711446412e-01                    -4.220832585e+01                1.263486648e+15     1.264635939e+15        
4.750000000e+00       -4.100139474e+01            -2.557028186e+00                4.369508396e+01                9.462440291e-01                      1.366610375e-01                    -4.261217889e+01                1.258623350e+15     1.259749243e+15        
4.800000000e+00       -4.138795594e+01            -2.583663896e+00                4.407360616e+01                9.569311663e-01                      1.019863219e-01                    -4.301468867e+01                1.253782370e+15     1.254881263e+15        
4.850000000e+00       -4.177317867e+01            -2.610299606e+00                4.445061658e+01                9.676340284e-01                      6.713830780e-02                    -4.341584425e+01                1.248963669e+15     1.250031933e+15        
4.900000000e+00       -4.215705219e+01            -2.636935316e+00                4.482612216e+01                9.783526321e-01                      3.213465240e-02                    -4.381563487e+01                1.244167203e+15     1.245201184e+15        
4.950000000e+00       -4.253956595e+01            -2.663571027e+00                4.520012983e+01                9.890869937e-01                      -3.007149618e-03                    -4.421404998e+01                1.239392926e+15     1.240388949e+15        
5.000000000e+00       -4.292070961e+01            -2.690206737e+00                4.557264657e+01                9.998371296e-01                      -3.826977257e-02                    -4.461107921e+01                1.234640788e+15     1.235595162e+15        
5.050000000e+00       -4.330047299e+01            -2.716842447e+00                4.594367937e+01                1.010603056e+00                      -7.363606639e-02                    -4.500671238e+01                1.229910734e+15     1.230819755e+15        
5.100000000e+00       -4.367884611e+01            -2.743478157e+00                4.631323520e+01                1.021384789e+00                      -1.090890632e-01                    -4.540093947e+01                1.225202709e+15     1.226062661e+15        
5.150000000e+00       -4.405581918e+01            -2.770113868e+00                4.668132106e+01                1.032182346e+00                      -1.446119841e-01                    -4.579375070e+01                1.220516652e+15     1.221323815e+15        
